Time,T0,T1,T2,T3,T4,T5,T6
2628000.0,6.301343606147432,7.691658461311731,9.777514098467694,10.770206501763278,10.68747400868609,10.23968841008018,9.972045283770797
2628900.0,6.391483137858406,7.632818639412873,9.690571588132324,10.743796843115234,10.68117438554649,10.251366230527175,9.971160750516814
2629800.0,6.476448256100057,7.562347908422833,9.607212154167918,10.706011504651027,10.697991884006159,10.268167207602872,9.98635636973395
2630700.0,6.563180514836842,7.504215608276536,9.526664915719318,10.657342291284506,10.690893226649374,10.284672746587058,10.004143388487327
2631600.0,6.674814428793948,7.465279700561566,9.439288479014925,10.613459482150544,10.702562608434278,10.297487003450218,10.006936673862683
2632500.0,6.787380739421499,7.424307031677068,9.364917429007457,10.587057567406582,10.700513818884525,10.316660905325163,10.014344887163901
2633400.0,6.909109326233433,7.384495614021944,9.275319652627207,10.521748603629478,10.699698091218215,10.334195620332164,10.021429561787851
2634300.0,7.0446142516101125,7.372131071468026,9.204142012665006,10.475677433882773,10.687594571191992,10.350838307134355,10.030798407152032
2635200.0,7.162979263846626,7.346657653489438,9.10896273041299,10.431553455704485,10.694048261024145,10.369219958093003,10.05493610892403
2636100.0,7.3266370268472985,7.32296577023406,9.04725975950596,10.377374167950212,10.674420481791266,10.378652528738417,10.041192170340784
2637000.0,7.463507552371292,7.317764922147168,8.966521591107544,10.31694646735392,10.669876004901624,10.391284941852714,10.06915444524301
2637900.0,7.6173726027080075,7.300296244027686,8.90028027084252,10.27003868143266,10.669317313230623,10.405272828911128,10.095670573217848
2638800.0,7.773359268313655,7.301803379679182,8.83116197040591,10.21289828791737,10.651386966325108,10.412438636658345,10.103264107458733
2639700.0,7.958646316715084,7.312585394898737,8.762067856282071,10.174861487793192,10.639471565296384,10.422002539874704,10.100529733769557
2640600.0,8.103188687041106,7.3497421943734,8.705662623047262,10.112666177499865,10.610874154309748,10.449029187743479,10.137256092797356
2641500.0,8.292675691382884,7.355727648986661,8.640478985781847,10.060316148658881,10.59137184049314,10.446192506523671,10.137909192001747
2642400.0,8.479560950388365,7.390796486500757,8.592350621054585,9.992898843553894,10.589611388954598,10.460926164801883,10.145559187681354
2643300.0,8.651822219655863,7.421624996657729,8.534899571883924,9.939797963271785,10.556138583066698,10.4524193021013,10.17405237133802
2644200.0,8.841701270931773,7.45602640037069,8.483352240155359,9.87335598885578,10.530406445380873,10.465187840446367,10.181244290140198
2645100.0,9.03332266136546,7.507442072229011,8.431739214571305,9.821119284830953,10.515738124331271,10.483489722807965,10.17704513839879
2646000.0,9.220750349501897,7.560357679247475,8.385447286217827,9.764916883575717,10.496246474818287,10.47684776984015,10.204885837313295
2646900.0,9.41069973264805,7.620897742465186,8.344784445691332,9.710443962277227,10.464161690148101,10.485113722890464,10.20263237117313
2647800.0,9.607734923646804,7.67655995891652,8.313988068221965,9.657526673617356,10.433553118714741,10.490369284662155,10.22071615176342
2648700.0,9.788457870990872,7.7502944421128,8.283487677304818,9.600138395589894,10.407852238371822,10.49370215785597,10.21940773398111
2649600.0,9.990383009197433,7.829603037457207,8.259887259558152,9.553508129364237,10.36960052637759,10.488639945082951,10.238834037391412
2650500.0,10.20521450803614,7.899933243834751,8.228479730174216,9.48898256926896,10.345100021450035,10.468248155237408,10.250503563533552
2651400.0,10.38628750565503,7.988130011190366,8.210203397907406,9.436338077345848,10.298726923902182,10.476367031918857,10.266812406966178
2652300.0,10.595465801678213,8.086319562125514,8.20327898852718,9.389770643820036,10.271679865826973,10.461986521757575,10.272030633963086
2653200.0,10.791564534016288,8.17202399734791,8.181129169837352,9.334521940308962,10.240724215901402,10.464397487510308,10.275564179562144
